movieId,review
1,"Great movie, really enjoyed it."
3,"Great movie, really enjoyed it."
6,"Great movie, really enjoyed it."
47,Absolutely loved it!
50,Absolutely loved it!
70,"It was decent, not bad."
101,Absolutely loved it!
110,"Great movie, really enjoyed it."
151,Absolutely loved it!
157,Absolutely loved it!
163,Absolutely loved it!
216,Absolutely loved it!
223,"It was decent, not bad."
231,Absolutely loved it!
235,"Great movie, really enjoyed it."
260,Absolutely loved it!
296,"It was decent, not bad."
316,"It was decent, not bad."
333,Absolutely loved it!
349,"Great movie, really enjoyed it."
356,"Great movie, really enjoyed it."
362,Absolutely loved it!
367,"Great movie, really enjoyed it."
423,"It was decent, not bad."
441,"Great movie, really enjoyed it."
457,Absolutely loved it!
480,"Great movie, really enjoyed it."
500,"It was decent, not bad."
527,Absolutely loved it!
543,"Great movie, really enjoyed it."
552,"Great movie, really enjoyed it."
553,Absolutely loved it!
590,"Great movie, really enjoyed it."
592,"Great movie, really enjoyed it."
593,"Great movie, really enjoyed it."
596,Absolutely loved it!
608,Absolutely loved it!
648,"It was decent, not bad."
661,Absolutely loved it!
673,"It was decent, not bad."
733,"Great movie, really enjoyed it."
736,"It was decent, not bad."
780,"It was decent, not bad."
804,"Great movie, really enjoyed it."
919,Absolutely loved it!
923,Absolutely loved it!
940,Absolutely loved it!
943,"Great movie, really enjoyed it."
954,Absolutely loved it!
1009,"It was decent, not bad."
1023,Absolutely loved it!
1024,Absolutely loved it!
1025,Absolutely loved it!
1029,Absolutely loved it!
1030,"It was decent, not bad."
1031,Absolutely loved it!
1032,Absolutely loved it!
1042,"Great movie, really enjoyed it."
1049,Absolutely loved it!
1060,"Great movie, really enjoyed it."
1073,Absolutely loved it!
1080,Absolutely loved it!
1089,Absolutely loved it!
1090,"Great movie, really enjoyed it."
1092,Absolutely loved it!
1097,Absolutely loved it!
1127,"Great movie, really enjoyed it."
1136,Absolutely loved it!
1196,Absolutely loved it!
1197,Absolutely loved it!
1198,Absolutely loved it!
1206,Absolutely loved it!
1208,"Great movie, really enjoyed it."
1210,Absolutely loved it!
1213,Absolutely loved it!
1214,"Great movie, really enjoyed it."
1219,"Not great, could be better."
1220,Absolutely loved it!
1222,Absolutely loved it!
1224,Absolutely loved it!
1226,Absolutely loved it!
1240,Absolutely loved it!
1256,Absolutely loved it!
1258,"It was decent, not bad."
1265,"Great movie, really enjoyed it."
1270,Absolutely loved it!
1275,Absolutely loved it!
1278,Absolutely loved it!
1282,Absolutely loved it!
1291,Absolutely loved it!
1298,Absolutely loved it!
1348,"Great movie, really enjoyed it."
1377,"It was decent, not bad."
1396,"It was decent, not bad."
1408,"It was decent, not bad."
1445,"It was decent, not bad."
1473,"Great movie, really enjoyed it."
1500,"Great movie, really enjoyed it."
1517,Absolutely loved it!
1552,"Great movie, really enjoyed it."
1573,Absolutely loved it!
1580,"It was decent, not bad."
1587,Absolutely loved it!
1617,Absolutely loved it!
1620,"Great movie, really enjoyed it."
1625,Absolutely loved it!
1644,"It was decent, not bad."
1676,"It was decent, not bad."
1732,Absolutely loved it!
1777,"Great movie, really enjoyed it."
1793,"Great movie, really enjoyed it."
1804,Absolutely loved it!
1805,"Great movie, really enjoyed it."
1920,"Great movie, really enjoyed it."
1927,Absolutely loved it!
1954,Absolutely loved it!
1967,"Great movie, really enjoyed it."
2000,"Great movie, really enjoyed it."
2005,Absolutely loved it!
2012,"Great movie, really enjoyed it."
2018,Absolutely loved it!
2028,"Great movie, really enjoyed it."
2033,Absolutely loved it!
2046,"Great movie, really enjoyed it."
2048,Absolutely loved it!
2054,"Great movie, really enjoyed it."
2058,Absolutely loved it!
2078,Absolutely loved it!
2090,Absolutely loved it!
2093,"It was decent, not bad."
2094,Absolutely loved it!
2096,"Great movie, really enjoyed it."
2099,"Great movie, really enjoyed it."
2105,"Great movie, really enjoyed it."
2115,Absolutely loved it!
2116,Absolutely loved it!
2137,Absolutely loved it!
2139,Absolutely loved it!
2141,Absolutely loved it!
2143,"Great movie, really enjoyed it."
2161,Absolutely loved it!
2174,"Great movie, really enjoyed it."
2193,"Great movie, really enjoyed it."
2253,"Not great, could be better."
2268,"Great movie, really enjoyed it."
2273,"Great movie, really enjoyed it."
2291,Absolutely loved it!
2329,Absolutely loved it!
2338,"Not great, could be better."
2353,Absolutely loved it!
2366,"Great movie, really enjoyed it."
2387,Absolutely loved it!
2389,"Not great, could be better."
2395,Absolutely loved it!
2406,"Great movie, really enjoyed it."
2414,"It was decent, not bad."
2427,Absolutely loved it!
2450,"Great movie, really enjoyed it."
2459,Absolutely loved it!
2470,Absolutely loved it!
2478,"Great movie, really enjoyed it."
2492,"Great movie, really enjoyed it."
2502,Absolutely loved it!
2528,"It was decent, not bad."
2529,Absolutely loved it!
2542,Absolutely loved it!
2571,Absolutely loved it!
2580,Absolutely loved it!
2596,Absolutely loved it!
2616,"Great movie, really enjoyed it."
2617,"Not great, could be better."
2628,"Great movie, really enjoyed it."
2640,"Great movie, really enjoyed it."
2641,Absolutely loved it!
2644,"Great movie, really enjoyed it."
2648,"Great movie, really enjoyed it."
2654,Absolutely loved it!
2657,"It was decent, not bad."
2692,Absolutely loved it!
2700,Absolutely loved it!
2716,Absolutely loved it!
2761,Absolutely loved it!
2797,"Great movie, really enjoyed it."
2826,"Great movie, really enjoyed it."
2858,Absolutely loved it!
2872,Absolutely loved it!
2899,Absolutely loved it!
2916,"Great movie, really enjoyed it."
2944,Absolutely loved it!
2947,Absolutely loved it!
2948,Absolutely loved it!
2949,Absolutely loved it!
2959,Absolutely loved it!
2985,"Great movie, really enjoyed it."
2987,Absolutely loved it!
2991,Absolutely loved it!
2993,Absolutely loved it!
2997,"Great movie, really enjoyed it."
3033,Absolutely loved it!
3034,Absolutely loved it!
3052,Absolutely loved it!
3053,Absolutely loved it!
3062,"Great movie, really enjoyed it."
3147,Absolutely loved it!
3168,"Great movie, really enjoyed it."
3176,Didn't like it at all.
3243,"It was decent, not bad."
3247,"It was decent, not bad."
3253,Absolutely loved it!
3273,Absolutely loved it!
3386,Absolutely loved it!
3439,"Great movie, really enjoyed it."
3440,"Great movie, really enjoyed it."
3441,Absolutely loved it!
3448,Absolutely loved it!
3450,Absolutely loved it!
3479,"Great movie, really enjoyed it."
3489,"Great movie, really enjoyed it."
3527,"Great movie, really enjoyed it."
3578,Absolutely loved it!
3617,"Great movie, really enjoyed it."
3639,"Great movie, really enjoyed it."
3671,Absolutely loved it!
3702,Absolutely loved it!
3703,Absolutely loved it!
3729,Absolutely loved it!
3740,"Great movie, really enjoyed it."
3744,"Great movie, really enjoyed it."
3793,Absolutely loved it!
3809,"Great movie, really enjoyed it."
4006,"Great movie, really enjoyed it."
5060,Absolutely loved it!
318,"It was decent, not bad."
333,"Great movie, really enjoyed it."
1704,Absolutely loved it!
3578,"Great movie, really enjoyed it."
6874,"Great movie, really enjoyed it."
8798,"It was decent, not bad."
46970,"Great movie, really enjoyed it."
48516,"Great movie, really enjoyed it."
58559,Absolutely loved it!
60756,Absolutely loved it!
68157,Absolutely loved it!
71535,"It was decent, not bad."
74458,"Great movie, really enjoyed it."
77455,"It was decent, not bad."
79132,"Great movie, really enjoyed it."
80489,Absolutely loved it!
80906,Absolutely loved it!
86345,"Great movie, really enjoyed it."
89774,Absolutely loved it!
91529,"It was decent, not bad."
91658,"Not great, could be better."
99114,"It was decent, not bad."
106782,Absolutely loved it!
109487,"It was decent, not bad."
112552,"Great movie, really enjoyed it."
114060,"Not great, could be better."
115713,"It was decent, not bad."
122882,Absolutely loved it!
131724,Absolutely loved it!
31,Didn't like it at all.
527,Didn't like it at all.
647,Didn't like it at all.
688,Didn't like it at all.
720,Didn't like it at all.
849,Absolutely loved it!
914,Didn't like it at all.
1093,Didn't like it at all.
1124,Didn't like it at all.
1263,Didn't like it at all.
1272,Didn't like it at all.
1275,"It was decent, not bad."
1302,Didn't like it at all.
1371,"It was decent, not bad."
1587,Absolutely loved it!
2018,Didn't like it at all.
2080,Didn't like it at all.
2090,Didn't like it at all.
2105,"Not great, could be better."
2288,"Great movie, really enjoyed it."
2424,Didn't like it at all.
2851,Absolutely loved it!
3024,Absolutely loved it!
3210,Didn't like it at all.
3703,Absolutely loved it!
3949,Didn't like it at all.
4518,Absolutely loved it!
5048,Didn't like it at all.
5181,Absolutely loved it!
5746,Absolutely loved it!
5764,Absolutely loved it!
5919,Absolutely loved it!
6238,Didn't like it at all.
6835,Absolutely loved it!
7899,Absolutely loved it!
7991,Absolutely loved it!
26409,Absolutely loved it!
70946,Absolutely loved it!
72378,Didn't like it at all.
21,"It was decent, not bad."
32,"Not great, could be better."
45,"It was decent, not bad."
47,"Not great, could be better."
52,"It was decent, not bad."
58,"It was decent, not bad."
106,"Great movie, really enjoyed it."
125,Absolutely loved it!
126,Didn't like it at all.
162,Absolutely loved it!
171,"It was decent, not bad."
176,Absolutely loved it!
190,"Not great, could be better."
215,Absolutely loved it!
222,Didn't like it at all.
232,Absolutely loved it!
235,"Not great, could be better."
247,"It was decent, not bad."
260,Absolutely loved it!
265,Absolutely loved it!
296,Didn't like it at all.
319,Absolutely loved it!
342,Absolutely loved it!
345,"Great movie, really enjoyed it."
348,"Great movie, really enjoyed it."
351,"It was decent, not bad."
357,"It was decent, not bad."
368,"Great movie, really enjoyed it."
417,"Not great, could be better."
441,Didn't like it at all.
450,"Not great, could be better."
457,Absolutely loved it!
475,Absolutely loved it!
492,Absolutely loved it!
509,Didn't like it at all.
538,Absolutely loved it!
539,Didn't like it at all.
553,"Not great, could be better."
588,"Great movie, really enjoyed it."
593,Absolutely loved it!
595,"It was decent, not bad."
599,"Not great, could be better."
608,Absolutely loved it!
648,"It was decent, not bad."
708,"Great movie, really enjoyed it."
759,"It was decent, not bad."
800,"Great movie, really enjoyed it."
892,"Great movie, really enjoyed it."
898,Absolutely loved it!
899,"Great movie, really enjoyed it."
902,"Great movie, really enjoyed it."
904,"Great movie, really enjoyed it."
908,Absolutely loved it!
910,Absolutely loved it!
912,Absolutely loved it!
914,Absolutely loved it!
919,Absolutely loved it!
920,Absolutely loved it!
930,Absolutely loved it!
937,"It was decent, not bad."
1025,"Great movie, really enjoyed it."
1046,Absolutely loved it!
1057,"It was decent, not bad."
1060,"Not great, could be better."
1073,"Great movie, really enjoyed it."
1077,Absolutely loved it!
1079,"Not great, could be better."
1080,Absolutely loved it!
1084,Absolutely loved it!
1086,Absolutely loved it!
1094,"It was decent, not bad."
1103,Absolutely loved it!
1136,Absolutely loved it!
1179,"Great movie, really enjoyed it."
1183,Didn't like it at all.
1188,Absolutely loved it!
1196,Absolutely loved it!
1197,Absolutely loved it!
1198,"It was decent, not bad."
1199,"Not great, could be better."
1203,Absolutely loved it!
1211,Didn't like it at all.
1213,"Great movie, really enjoyed it."
1219,"Great movie, really enjoyed it."
1225,"Great movie, really enjoyed it."
1250,Absolutely loved it!
1259,"Great movie, really enjoyed it."
1265,"Great movie, really enjoyed it."
1266,"Great movie, really enjoyed it."
1279,"Not great, could be better."
1282,Absolutely loved it!
1283,Absolutely loved it!
1288,"Great movie, really enjoyed it."
1291,"Great movie, really enjoyed it."
1304,"It was decent, not bad."
1391,Didn't like it at all.
1449,Absolutely loved it!
1466,"Great movie, really enjoyed it."
1500,"Great movie, really enjoyed it."
1517,"Great movie, really enjoyed it."
1580,"It was decent, not bad."
1597,Didn't like it at all.
1617,"Not great, could be better."
1641,"Great movie, really enjoyed it."
1704,Didn't like it at all.
1719,"Great movie, really enjoyed it."
1732,"Great movie, really enjoyed it."
1733,Absolutely loved it!
1734,"It was decent, not bad."
1834,Absolutely loved it!
1860,"Not great, could be better."
1883,"Great movie, really enjoyed it."
1885,"It was decent, not bad."
1892,"Not great, could be better."
1895,"Great movie, really enjoyed it."
1907,"It was decent, not bad."
1914,"Great movie, really enjoyed it."
1916,Didn't like it at all.
1923,"It was decent, not bad."
1947,Absolutely loved it!
1966,"Not great, could be better."
1967,Absolutely loved it!
1968,"Great movie, really enjoyed it."
2019,"Not great, could be better."
2076,"Great movie, really enjoyed it."
2078,Absolutely loved it!
2109,"Great movie, really enjoyed it."
2145,"It was decent, not bad."
2150,Absolutely loved it!
2174,Absolutely loved it!
2186,Absolutely loved it!
2203,"Great movie, really enjoyed it."
2204,Absolutely loved it!
2282,Didn't like it at all.
2324,Didn't like it at all.
2336,"Not great, could be better."
2351,"Great movie, really enjoyed it."
2359,"Great movie, really enjoyed it."
2390,Absolutely loved it!
2395,"It was decent, not bad."
2406,"Great movie, really enjoyed it."
2467,"Great movie, really enjoyed it."
2571,Didn't like it at all.
2583,Absolutely loved it!
2599,Absolutely loved it!
2628,Didn't like it at all.
2683,"Great movie, really enjoyed it."
2692,Absolutely loved it!
2712,"Not great, could be better."
2762,"Great movie, really enjoyed it."
2763,Didn't like it at all.
2770,"Not great, could be better."
2791,Absolutely loved it!
2843,Absolutely loved it!
2858,Absolutely loved it!
2874,"Great movie, really enjoyed it."
2921,"Great movie, really enjoyed it."
2926,Absolutely loved it!
2959,"Not great, could be better."
2973,"Not great, could be better."
2997,"Great movie, really enjoyed it."
3033,"Great movie, really enjoyed it."
3044,Absolutely loved it!
3060,"Great movie, really enjoyed it."
3079,"It was decent, not bad."
3083,Absolutely loved it!
3160,"Great movie, really enjoyed it."
3175,Didn't like it at all.
3176,"Great movie, really enjoyed it."
3204,"Great movie, really enjoyed it."
3255,"Great movie, really enjoyed it."
3317,"Great movie, really enjoyed it."
3358,"It was decent, not bad."
3365,Absolutely loved it!
3386,"Great movie, really enjoyed it."
3408,"Great movie, really enjoyed it."
3481,"Not great, could be better."
3489,Didn't like it at all.
3508,Absolutely loved it!
3538,"Not great, could be better."
3591,Didn't like it at all.
3788,"It was decent, not bad."
3809,"It was decent, not bad."
3851,Absolutely loved it!
3897,"Great movie, really enjoyed it."
3911,"It was decent, not bad."
3967,"Great movie, really enjoyed it."
3996,"Great movie, really enjoyed it."
4002,"It was decent, not bad."
4014,Didn't like it at all.
4020,"It was decent, not bad."
4021,"Great movie, really enjoyed it."
4027,"It was decent, not bad."
4029,"It was decent, not bad."
4033,"Great movie, really enjoyed it."
4034,Absolutely loved it!
4074,"It was decent, not bad."
4121,"Great movie, really enjoyed it."
4144,"It was decent, not bad."
4166,"It was decent, not bad."
4226,"Not great, could be better."
4239,Absolutely loved it!
4246,"Great movie, really enjoyed it."
4252,"It was decent, not bad."
4260,"Not great, could be better."
4273,"Great movie, really enjoyed it."
4308,Didn't like it at all.
4347,"Great movie, really enjoyed it."
4381,"It was decent, not bad."
4641,Didn't like it at all.
4741,"It was decent, not bad."
4765,Absolutely loved it!
4881,"It was decent, not bad."
4896,"Great movie, really enjoyed it."
4902,"Great movie, really enjoyed it."
4967,Absolutely loved it!
1,"Great movie, really enjoyed it."
21,"Great movie, really enjoyed it."
34,"Great movie, really enjoyed it."
36,"Great movie, really enjoyed it."
39,"It was decent, not bad."
50,"Great movie, really enjoyed it."
58,Absolutely loved it!
110,"Great movie, really enjoyed it."
150,"It was decent, not bad."
153,"It was decent, not bad."
232,"Great movie, really enjoyed it."
247,Absolutely loved it!
253,"It was decent, not bad."
261,"Great movie, really enjoyed it."
265,"It was decent, not bad."
266,Didn't like it at all.
290,Absolutely loved it!
296,Absolutely loved it!
300,"It was decent, not bad."
316,"Not great, could be better."
318,"It was decent, not bad."
344,"It was decent, not bad."
349,"It was decent, not bad."
357,"Not great, could be better."
364,"It was decent, not bad."
367,"Great movie, really enjoyed it."
380,"Not great, could be better."
410,"It was decent, not bad."
457,"Great movie, really enjoyed it."
474,"Great movie, really enjoyed it."
475,Absolutely loved it!
515,"It was decent, not bad."
527,Absolutely loved it!
531,"Great movie, really enjoyed it."
534,"It was decent, not bad."
588,"Great movie, really enjoyed it."
589,"It was decent, not bad."
590,Absolutely loved it!
592,"It was decent, not bad."
594,Absolutely loved it!
595,Absolutely loved it!
596,Absolutely loved it!
597,"It was decent, not bad."
608,"It was decent, not bad."
2,"Great movie, really enjoyed it."
3,Absolutely loved it!
4,"It was decent, not bad."
5,Absolutely loved it!
6,"Great movie, really enjoyed it."
7,"Great movie, really enjoyed it."
8,"It was decent, not bad."
10,"It was decent, not bad."
11,"Great movie, really enjoyed it."
13,"It was decent, not bad."
15,"Great movie, really enjoyed it."
16,"Great movie, really enjoyed it."
17,"Great movie, really enjoyed it."
19,"Not great, could be better."
21,"Not great, could be better."
22,Absolutely loved it!
24,"Great movie, really enjoyed it."
25,"It was decent, not bad."
26,"Great movie, really enjoyed it."
27,"It was decent, not bad."
31,"It was decent, not bad."
32,"Great movie, really enjoyed it."
34,"Great movie, really enjoyed it."
36,Absolutely loved it!
41,"Great movie, really enjoyed it."
43,"Great movie, really enjoyed it."
45,"It was decent, not bad."
46,"Great movie, really enjoyed it."
47,"Great movie, really enjoyed it."
50,Didn't like it at all.
54,"Great movie, really enjoyed it."
60,"Great movie, really enjoyed it."
61,"Great movie, really enjoyed it."
62,"Great movie, really enjoyed it."
65,"It was decent, not bad."
66,"It was decent, not bad."
76,"Great movie, really enjoyed it."
79,"It was decent, not bad."
86,Absolutely loved it!
87,"It was decent, not bad."
88,"Not great, could be better."
89,"Great movie, really enjoyed it."
92,"Great movie, really enjoyed it."
93,"Great movie, really enjoyed it."
95,"Great movie, really enjoyed it."
100,"It was decent, not bad."
102,Didn't like it at all.
104,"Great movie, really enjoyed it."
105,"It was decent, not bad."
110,Absolutely loved it!
112,"Great movie, really enjoyed it."
113,"It was decent, not bad."
126,"It was decent, not bad."
135,"It was decent, not bad."
140,"It was decent, not bad."
141,"Great movie, really enjoyed it."
145,"Great movie, really enjoyed it."
146,"Great movie, really enjoyed it."
150,"Great movie, really enjoyed it."
151,"Great movie, really enjoyed it."
153,"It was decent, not bad."
158,"Great movie, really enjoyed it."
159,"It was decent, not bad."
160,Absolutely loved it!
161,"It was decent, not bad."
163,"It was decent, not bad."
165,"It was decent, not bad."
168,Absolutely loved it!
170,"It was decent, not bad."
171,"It was decent, not bad."
174,"It was decent, not bad."
177,"It was decent, not bad."
179,Didn't like it at all.
180,"Not great, could be better."
181,"It was decent, not bad."
185,"It was decent, not bad."
186,"It was decent, not bad."
189,"It was decent, not bad."
191,"Not great, could be better."
195,"Great movie, really enjoyed it."
196,"It was decent, not bad."
201,"It was decent, not bad."
204,"It was decent, not bad."
205,"It was decent, not bad."
207,"Great movie, really enjoyed it."
208,"It was decent, not bad."
209,"It was decent, not bad."
210,"Great movie, really enjoyed it."
212,"Great movie, really enjoyed it."
216,"Great movie, really enjoyed it."
217,"It was decent, not bad."
218,"Not great, could be better."
219,"It was decent, not bad."
222,"Great movie, really enjoyed it."
224,"It was decent, not bad."
225,"Great movie, really enjoyed it."
230,Absolutely loved it!
231,"It was decent, not bad."
234,"Not great, could be better."
236,"Great movie, really enjoyed it."
237,"Great movie, really enjoyed it."
239,"It was decent, not bad."
240,"It was decent, not bad."
243,"It was decent, not bad."
248,Absolutely loved it!
